"filename", "language", "Python", "Markdown", "Jupyter", "XML", "Log", "comment", "blank", "total"
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\ChatBotEnglish\README.md", "Markdown", 0, 4, 0, 0, 0, 0, 3, 7
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\ChatBotEnglish\model.py", "Python", 17, 0, 0, 0, 0, 8, 3, 28
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\ChatBotEnglish\test.py", "Python", 472, 0, 0, 0, 0, 168, 97, 737
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GNN\README.md", "Markdown", 0, 43, 0, 0, 0, 0, 22, 65
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GNN\train\dataload.py", "Python", 114, 0, 0, 0, 0, 23, 47, 184
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GNN\train\model.py", "Python", 23, 0, 0, 0, 0, 3, 8, 34
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GNN\train\processed\pre_filter.pt", "XML", 0, 0, 0, 2, 0, 0, 0, 2
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GNN\train\processed\pre_transform.pt", "XML", 0, 0, 0, 2, 0, 0, 0, 2
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GNN\train\processed\test.pt", "XML", 0, 0, 0, 39698, 0, 0, 192, 39890
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GNN\train\processed\train.pt", "XML", 0, 0, 0, 140003, 0, 0, 767, 140770
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GNN\train\t.py", "Python", 57, 0, 0, 0, 0, 1, 15, 73
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GNN\train\train.py", "Python", 51, 0, 0, 0, 0, 5, 12, 68
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GNN\train\transformer.py", "Python", 371, 0, 0, 0, 0, 111, 106, 588
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GNN\tutorial\train.py", "Python", 51, 0, 0, 0, 0, 13, 16, 80
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GNN\tutorial\tutorial.py", "Python", 8, 0, 0, 0, 0, 5, 6, 19
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GPT\README.md", "Markdown", 0, 89, 0, 0, 0, 0, 27, 116
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GPT\mingpt\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GPT\mingpt\model.py", "Python", 123, 0, 0, 0, 0, 42, 33, 198
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GPT\mingpt\trainer.py", "Python", 88, 0, 0, 0, 0, 20, 25, 133
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GPT\mingpt\utils.py", "Python", 32, 0, 0, 0, 0, 11, 6, 49
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GPT\play_char.py", "Python", 52, 0, 0, 0, 0, 43, 17, 112
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GPT\play_math.ipynb", "Jupyter", 0, 0, 313, 0, 0, 0, 0, 313
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\GPT\writer.py", "Python", 48, 0, 0, 0, 0, 42, 14, 104
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\PGNSum\README.md", "Markdown", 0, 5, 0, 0, 0, 0, 3, 8
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\PGNSum\config.py", "Python", 34, 0, 0, 0, 0, 5, 10, 49
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\PGNSum\dataloader.py", "Python", 130, 0, 0, 0, 0, 15, 24, 169
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\PGNSum\model.py", "Python", 161, 0, 0, 0, 0, 17, 56, 234
"d:\KevinproPython\workspace\Kevinpro-NLP-demo\PGNSum\train.py", "Python", 306, 0, 0, 0, 0, 29, 63, 398
