,id,title,authors,subjects,subject_split
0,arXiv:2110.15349,"
Title: Learning to Ground Multi-Agent Communication with Autoencoders
","
Authors:
Toru Lin, 
Minyoung Huh, 
Chris Stauffer, 
Ser-Nam Lim, 
Phillip Isola
","
Subjects: Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Multiagent Systems (cs.MA)

","['Machine Learning (cs.LG)', 'Artificial Intelligence (cs.AI)', 'Computation and Language (cs.CL)', 'Multiagent Systems (cs.MA)']"
1,arXiv:2110.15317,"
Title: Bridge the Gap Between CV and NLP! A Gradient-based Textual Adversarial  Attack Framework
","
Authors:
Lifan Yuan, 
Yichi Zhang, 
Yangyi Chen, 
Wei Wei
","
Subjects: Computation and Language (cs.CL); Cryptography and Security (cs.CR); Machine Learning (cs.LG)

","['Computation and Language (cs.CL)', 'Cryptography and Security (cs.CR)', 'Machine Learning (cs.LG)']"
2,arXiv:2110.15269,"
Title: Cognitive network science quantifies feelings expressed in suicide  letters and Reddit mental health communities
","
Authors:
Simmi Marina Joseph, 
Salvatore Citraro, 
Virginia Morini, 
Giulio Rossetti, 
Massimo Stella
","
Subjects: Computation and Language (cs.CL); Computers and Society (cs.CY)

","['Computation and Language (cs.CL)', 'Computers and Society (cs.CY)']"
3,arXiv:2110.15248,"
Title: ÚFAL at MultiLexNorm 2021: Improving Multilingual Lexical  Normalization by Fine-tuning ByT5
","
Authors:
David Samuel, 
Milan Straka
","
Subjects: Computation and Language (cs.CL)
",['Computation and Language (cs.CL)']
4,arXiv:2110.15235,"
Title: Multi-stage Clarification in Conversational AI: The case of  Question-Answering Dialogue Systems
","
Authors:
Hadrien Lautraite, 
Nada Naji, 
Louis Marceau, 
Marc Queudot, 
Eric Charton
","
Subjects: Computation and Language (cs.CL)
",['Computation and Language (cs.CL)']
5,arXiv:2110.15225,"
Title: Pruning Attention Heads of Transformer Models Using A* Search: A Novel  Approach to Compress Big NLP Architectures
","
Authors:
Archit Parnami, 
Rahul Singh, 
Tarun Joshi
","
Subjects: Computation and Language (cs.CL); Machine Learning (cs.LG)

","['Computation and Language (cs.CL)', 'Machine Learning (cs.LG)']"
6,arXiv:2110.15222,"
Title: Word-level confidence estimation for RNN transducers
","
Authors:
Mingqiu Wang, 
Hagen Soltau, 
Laurent El Shafey, 
Izhak Shafran
","
Subjects: Computation and Language (cs.CL); Sound (cs.SD); Audio and Speech Processing (eess.AS)

","['Computation and Language (cs.CL)', 'Sound (cs.SD)', 'Audio and Speech Processing (eess.AS)']"
7,arXiv:2110.15220,"
Title: An Add-On for Empowering Google Forms to be an Automatic Question  Generator in Online Assessments
","
Authors:
Pornpat Sirithumgul, 
Pimpaka Prasertsilp, 
Lorne Olfman
","
Subjects: Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Software Engineering (cs.SE)

","['Computation and Language (cs.CL)', 'Artificial Intelligence (cs.AI)', 'Software Engineering (cs.SE)']"
8,arXiv:2110.15181,"
Title: BERTian Poetics: Constrained Composition with Masked LMs
","
Authors:
Christopher Akiki, 
Martin Potthast
","
Subjects: Computation and Language (cs.CL)
",['Computation and Language (cs.CL)']
9,arXiv:2110.15149,"
Title: Diversity-Driven Combination for Grammatical Error Correction
","
Authors:
Wenjuan Han, 
Hwee Tou Ng
","
Subjects: Computation and Language (cs.CL)
",['Computation and Language (cs.CL)']
