time_iso8601,forks_cumulative
2021-08-26 00:00:00+00:00,1
2021-11-19 00:00:00+00:00,2
2022-01-15 00:00:00+00:00,3
2022-01-19 00:00:00+00:00,4
2022-01-20 00:00:00+00:00,5
2022-01-28 00:00:00+00:00,6
2022-02-17 00:00:00+00:00,7
2022-02-19 00:00:00+00:00,8
2022-03-30 00:00:00+00:00,9
2022-04-01 00:00:00+00:00,10
2022-04-07 00:00:00+00:00,11
2022-04-16 00:00:00+00:00,12
2022-04-18 00:00:00+00:00,13
2022-04-19 00:00:00+00:00,14
2022-04-21 00:00:00+00:00,15
2022-04-22 00:00:00+00:00,16
2022-05-18 00:00:00+00:00,17
2022-05-20 00:00:00+00:00,18
2022-06-22 00:00:00+00:00,19
2022-06-25 00:00:00+00:00,20
2022-06-29 00:00:00+00:00,21
2022-07-23 00:00:00+00:00,22
2022-08-25 00:00:00+00:00,23
2022-09-11 00:00:00+00:00,24
2022-10-13 00:00:00+00:00,25
2022-10-25 00:00:00+00:00,26
2022-10-27 00:00:00+00:00,27
2022-11-29 00:00:00+00:00,28
2023-01-04 00:00:00+00:00,29
2023-03-02 00:00:00+00:00,30
2023-03-15 00:00:00+00:00,31
2023-03-25 00:00:00+00:00,32
2023-03-27 00:00:00+00:00,33
2023-05-12 00:00:00+00:00,34
2023-08-26 00:00:00+00:00,35
2023-09-13 00:00:00+00:00,36
2023-11-05 00:00:00+00:00,37
2023-11-30 00:00:00+00:00,38
2024-03-07 00:00:00+00:00,39
2024-03-12 00:00:00+00:00,40
2024-03-14 00:00:00+00:00,41
2024-03-23 00:00:00+00:00,42
2024-04-03 00:00:00+00:00,43
2024-05-20 00:00:00+00:00,44
2024-05-25 00:00:00+00:00,45
2024-05-27 00:00:00+00:00,46
2024-06-22 00:00:00+00:00,47
2024-07-26 00:00:00+00:00,48
2024-08-07 00:00:00+00:00,49
2024-08-31 00:00:00+00:00,50
2024-09-08 00:00:00+00:00,51
2024-09-17 00:00:00+00:00,52
2024-09-26 00:00:00+00:00,53
